file_name,title,organization,year,topic,official_url,pdf_url,rights_status,rights_evidence_url,download_date,document_type,language,selection_status,redistribute_raw_pdf,historical_document,rights_scope,local_folder,notes
cdc_115958_DS1.pdf,Survey of Environmental Parameter Sensors for a Personal Heat Stress Monitor,NIOSH,1976,Heat stress,https://stacks.cdc.gov/view/cdc/115958,https://stacks.cdc.gov/view/cdc/115958/cdc_115958_DS1.pdf,Public domain according to CDC Stacks policy; attribution requested,https://stacks.cdc.gov/Content%20and%20Copyright,2026-08-27,technical_report,English,selected,yes_with_attribution,yes,Government work in CDC Stacks; verify document-specific exceptions before republication,data/documents/official/niosh/heat_stress,Historical 1976 report; useful for comparing the evolution of personal heat-stress monitoring.
2016-106.pdf,Criteria for a Recommended Standard: Occupational Exposure to Heat and Hot Environments,NIOSH,2016,Heat stress,https://www.cdc.gov/niosh/publications/numbered/2016-106.html,https://www.cdc.gov/niosh/docs/2016-106/pdfs/2016-106.pdf,Public domain - explicit statement in PDF; cover photo © Thinkstock excluded,PDF page ii,2026-08-27,recommended_standard,English,selected,no,no,Government text is public domain; Thinkstock cover photograph excluded,data/documents/official/niosh/heat_stress,"Use as a technical reference for documentary alignment, not as automatic legal certification."
2017-127.pdf,Heat Stress: Work Schedules,NIOSH,2017,Heat stress,https://www.cdc.gov/niosh/publications/numbered/2017-127.html,https://www.cdc.gov/niosh/docs/2017-127/pdfs/2017-127.pdf,Public domain under CDC agency materials policy; third-party Thinkstock photograph excluded,https://www.cdc.gov/other/agencymaterials.html,2026-08-27,fact_sheet,English,selected,no,no,Government text under CDC policy; third-party Thinkstock photograph excluded,data/documents/official/niosh/heat_stress,Short fact sheet focused on work/rest schedules in hot environments.
2010-114.pdf,NIOSH Fast Facts: Protecting Yourself from Heat Stress,NIOSH,2010,Heat stress,https://www.cdc.gov/niosh/publications/numbered/2010-114.html,https://www.cdc.gov/niosh/docs/2010-114/pdfs/2010-114.pdf,Public domain under CDC agency materials policy; CDC HHS and NIOSH logos excluded,https://www.cdc.gov/other/agencymaterials.html,2026-08-27,fact_sheet,English,selected,no,no,Government content under CDC policy; agency logos excluded,data/documents/official/niosh/heat_stress,Concise worker-oriented heat-stress prevention material.
2019-128Revised112019.pdf,"Prevent Construction Falls from Roofs, Ladders, and Scaffolds",NIOSH,2019,Construction and falls,https://www.cdc.gov/niosh/publications/numbered/2019-128.html,https://www.cdc.gov/niosh/docs/2019-128/pdfs/2019-128Revised112019.pdf,NIOSH text is public domain under CDC agency materials policy; Getty Images and Thinkstock materials excluded,https://www.cdc.gov/other/agencymaterials.html,2026-08-27,fact_sheet,English,selected,no,no,NIOSH text under CDC policy; Getty Images and Thinkstock materials excluded,data/documents/official/niosh/construction_falls,"Revised November 2019; covers roofs, ladders and scaffolds."
2014-124.pdf,Preventing Falls from Heights through the Design of Embedded Safety Features,NIOSH,2014,Construction and falls,https://www.cdc.gov/niosh/publications/numbered/2014-124.html,https://www.cdc.gov/niosh/docs/wp-solutions/2014-124/pdfs/2014-124.pdf,Public domain - explicit statement in PDF,PDF page 4,2026-08-27,workplace_design_solution,English,selected,yes,no,Entire document has an explicit public-domain statement,data/documents/official/niosh/construction_falls,Design-based prevention of falls using embedded safety features.
2024-124.pdf,Prevention through Design Toolkit for the Construction Industry,NIOSH,2024,Construction and falls,https://www.cdc.gov/niosh/publications/numbered/2024-124.html,https://www.cdc.gov/niosh/docs/2024-124/pdfs/2024-124.pdf,Public domain - explicit statement in PDF,PDF page 3,2026-08-27,toolkit,English,selected,yes,no,Entire document has an explicit public-domain statement,data/documents/official/niosh/construction_falls,Recent construction toolkit covering falls and additional construction hazards.
2014-108.pdf,Preventing Falls through the Design of Roof Parapets,NIOSH,2014,Construction and falls,https://www.cdc.gov/niosh/publications/numbered/2014-108.html,https://www.cdc.gov/niosh/docs/2014-108/pdfs/2014-108.pdf,Public domain - explicit statement in PDF; Figure 1 attribution should be retained,PDF page 4,2026-08-27,workplace_design_solution,English,selected,yes_with_attribution,no,Explicit public-domain statement; retain Figure 1 attribution,data/documents/official/niosh/construction_falls,Specific guidance on roof parapet design for fall prevention.
OSHA3902.pdf,Small Entity Compliance Guide for the Respirable Crystalline Silica Standard for Construction,OSHA,2024,Chemical hazards,"https://www.osha.gov/publications/bytopic/silica,-crystalline",https://www.osha.gov/sites/default/files/publications/OSHA3902.pdf,Public domain - explicit statement in PDF; source credit requested; cover photo credited to OSHA and International Masonry Institute,PDF page 2,2026-08-27,compliance_guide,English,selected,yes_with_attribution,no,Entire publication is public domain; source credit requested; cover photo credited,data/documents/official/osha/chemical_hazards,Guidance document; it does not replace the official silica standard or determine compliance.
99-112.pdf,Controlling Chemical Hazards During the Application of Artificial Fingernails,NIOSH,1999,Chemical hazards,https://www.cdc.gov/niosh/publications/numbered/99-112.html,https://www.cdc.gov/niosh/media/pdfs/2026/05/99-112.pdf,Public domain - explicit statement in PDF; drawing credits should be retained,PDF page 4,2026-08-27,hazard_control,English,selected,yes_with_attribution,yes,Explicit public-domain statement; retain drawing credits,data/documents/official/niosh/chemical_hazards,Historical 1999 document on methacrylate exposure during artificial-nail application.
OSHA3151.pdf,Personal Protective Equipment,OSHA,2023,Personal protective equipment,https://www.osha.gov/publications/publication-products?publication_title=3151,https://www.osha.gov/sites/default/files/publications/OSHA3151.pdf,Public domain - explicit statement in PDF; source credit requested,PDF page 2,2026-08-27,guidance_document,English,selected,yes_with_attribution,no,Entire publication is public domain; source credit requested,data/documents/official/osha/ppe,Revised 2023 OSHA guide on personal protective equipment.
